0.4166667,0.2666667,0.1333333,0.008333333,0.3875,0.2458333,0.1125,0.5,0.3541667,0.2166667,0.09166667,0.475,0.3208333,0.1916667,0.0625,0.4416667,0.2875,0.1625,0.04166667,0.4083333,0.2625,0.1416667,0.025,0.375,0.2375,0.1208333,0.008333333,0.3375,0.2125,0.09583333,0.4958333,0.3,0.1875,0.06666667,0.4625,0.2583333,0.1625,0.05,0.4333333,0.2333333,0.1416667,0.02916667,0.4041667,0.2041667,0.1208333,0.01666667,0.375,0.1791667,0.09583333,0.5083333,0.3333333,0.15,0.06666667,0.4791667,0.2916667,0.1291667,0.04583333,0.4541667,0.2625,0.1083333,0.02916667,0.425,0.2291667,0.0875,0.0125,0.4,0.2,0.0625,0.5083333,0.3583333,0.1666667,0.03333333,0.4833333,0.3208333,0.1458333,0.0125,0.4625,0.2875,0.125,0.5125,0.4416667,0.2541667,0.1,0.4916667,0.4166667,0.225,0.075,0.4708333
0.9333333,0.7958333,0.6583333,0.525,0.9125,0.7708333,0.6333333,1.016667,0.8833333,0.7458333,0.6083333,0.9916667,0.8541667,0.7166667,0.5833333,0.9625,0.8166667,0.6875,0.5583333,0.9291667,0.7875,0.6625,0.5416667,0.9041667,0.7666667,0.6416667,0.5166667,0.8708333,0.7375,0.6166667,1.008333,0.8333333,0.7125,0.5916667,0.9833333,0.7875,0.6875,0.5666667,0.9541667,0.7583333,0.6666667,0.55,0.9291667,0.7333333,0.6458333,0.5291667,0.9,0.7041667,0.6166667,1.020833,0.8666667,0.675,0.5916667,0.9958333,0.8208333,0.6541667,0.5666667,0.9708333,0.7875,0.6291667,0.55,0.95,0.7583333,0.6083333,0.5291667,0.925,0.725,0.5833333,1.020833,0.8875,0.6958333,0.5541667,1,0.8458333,0.6708333,0.5333333,0.9791667,0.8125,0.6458333,1.029167,0.9625,0.7833333,0.6208333,1.008333,0.9416667,0.75,0.5916667,0.9833333
1.45,1.3125,1.166667,1.0375,1.425,1.2875,1.145833,1.529167,1.4,1.258333,1.120833,1.504167,1.370833,1.229167,1.091667,1.470833,1.333333,1.2,1.070833,1.441667,1.304167,1.179167,1.05,1.4125,1.279167,1.154167,1.033333,1.383333,1.254167,1.129167,1.520833,1.341667,1.229167,1.1,1.491667,1.295833,1.2,1.079167,1.466667,1.266667,1.179167,1.058333,1.441667,1.2375,1.158333,1.041667,1.4125,1.2125,1.129167,1.5375,1.375,1.183333,1.104167,1.508333,1.333333,1.1625,1.083333,1.4875,1.295833,1.141667,1.0625,1.4625,1.2625,1.120833,1.045833,1.4375,1.229167,1.091667,1.541667,1.4,1.195833,1.066667,1.516667,1.3625,1.175,1.045833,1.495833,1.325,1.15,1.545833,1.475,1.295833,1.129167,1.529167,1.454167,1.258333,1.1,1.504167
1.966667,1.841667,1.691667,1.554167,1.945833,1.816667,1.666667,2.045833,1.925,1.7875,1.641667,2.016667,1.895833,1.758333,1.6125,1.9875,1.8625,1.725,1.5875,1.958333,1.833333,1.7,1.566667,1.9375,1.808333,1.679167,1.545833,1.908333,1.783333,1.65,2.033333,1.875,1.754167,1.625,2.008333,1.829167,1.725,1.6,1.983333,1.795833,1.704167,1.579167,1.9625,1.766667,1.683333,1.558333,1.9375,1.7375,1.654167,2.045833,1.904167,1.708333,1.629167,2.020833,1.8625,1.6875,1.604167,2,1.825,1.666667,1.583333,1.983333,1.791667,1.641667,1.5625,1.958333,1.758333,1.616667,2.05,1.929167,1.725,1.591667,2.029167,1.8875,1.7,1.566667,2.008333,1.854167,1.675,2.0625,1.995833,1.825,1.65,2.041667,1.975,1.7875,1.625,2.016667
2.483333,2.358333,2.2,2.0625,2.4625,2.333333,2.175,2.558333,2.441667,2.304167,2.15,2.529167,2.4125,2.275,2.120833,2.5,2.379167,2.241667,2.1,2.475,2.35,2.216667,2.079167,2.445833,2.325,2.1875,2.058333,2.420833,2.3,2.1625,2.55,2.383333,2.270833,2.133333,2.520833,2.341667,2.241667,2.108333,2.495833,2.308333,2.220833,2.0875,2.475,2.275,2.195833,2.070833,2.45,2.25,2.166667,2.5625,2.4125,2.220833,2.1375,2.5375,2.370833,2.2,2.116667,2.516667,2.3375,2.175,2.095833,2.491667,2.3,2.154167,2.075,2.470833,2.2625,2.129167,2.570833,2.4375,2.229167,2.1,2.545833,2.4,2.204167,2.079167,2.525,2.366667,2.179167,2.583333,2.504167,2.3375,2.158333,2.5625,2.4875,2.295833,2.129167,2.5375
3,2.8875,2.725,2.579167,2.979167,2.8625,2.7,3.066667,2.958333,2.8375,2.670833,3.041667,2.9375,2.8,2.641667,3.0125,2.904167,2.766667,2.616667,2.9875,2.879167,2.741667,2.595833,2.966667,2.854167,2.716667,2.575,2.941667,2.829167,2.6875,3.058333,2.908333,2.8,2.658333,3.033333,2.866667,2.766667,2.629167,3.008333,2.833333,2.745833,2.608333,2.991667,2.808333,2.720833,2.5875,2.966667,2.779167,2.691667,3.070833,2.9375,2.745833,2.6625,3.05,2.895833,2.720833,2.6375,3.025,2.866667,2.7,2.616667,3.008333,2.833333,2.679167,2.595833,2.9875,2.795833,2.654167,3.079167,2.958333,2.758333,2.625,3.058333,2.925,2.729167,2.604167,3.0375,2.895833,2.704167,3.095833,3.020833,2.866667,2.683333,3.075,3,2.829167,2.654167,3.05
3.516667,3.404167,3.2375,3.0875,3.495833,3.383333,3.208333,3.583333,3.479167,3.35,3.179167,3.558333,3.454167,3.316667,3.15,3.529167,3.425,3.283333,3.129167,3.504167,3.395833,3.254167,3.108333,3.479167,3.375,3.225,3.0875,3.454167,3.35,3.195833,3.579167,3.420833,3.316667,3.166667,3.55,3.383333,3.283333,3.141667,3.525,3.35,3.258333,3.120833,3.504167,3.320833,3.233333,3.1,3.479167,3.291667,3.204167,3.591667,3.445833,3.2625,3.175,3.566667,3.408333,3.2375,3.15,3.541667,3.375,3.2125,3.129167,3.520833,3.341667,3.191667,3.108333,3.5,3.304167,3.166667,3.604167,3.466667,3.266667,3.1375,3.575,3.4375,3.2375,3.116667,3.554167,3.408333,3.2125,3.620833,3.533333,3.379167,3.1875,3.595833,3.516667,3.3375,3.1625,3.570833
4.029167,3.929167,3.7625,3.608333,4.0125,3.908333,3.733333,4.091667,3.995833,3.883333,3.704167,4.066667,3.970833,3.845833,3.675,4.0375,3.941667,3.808333,3.65,4.0125,3.920833,3.779167,3.625,3.991667,3.9,3.754167,3.604167,3.970833,3.879167,3.720833,4.083333,3.941667,3.845833,3.691667,4.058333,3.904167,3.8125,3.6625,4.0375,3.879167,3.7875,3.641667,4.016667,3.85,3.7625,3.616667,3.995833,3.825,3.733333,4.1,3.966667,3.791667,3.7,4.075,3.929167,3.7625,3.675,4.054167,3.9,3.741667,3.654167,4.0375,3.870833,3.716667,3.629167,4.0125,3.8375,3.691667,4.108333,3.9875,3.795833,3.6625,4.0875,3.954167,3.7625,3.641667,4.066667,3.929167,3.7375,4.133333,4.05,3.904167,3.716667,4.108333,4.029167,3.870833,3.6875,4.083333
4.554167,4.445833,4.275,4.116667,4.533333,4.425,4.241667,4.6125,4.5125,4.395833,4.2125,4.583333,4.4875,4.366667,4.183333,4.554167,4.4625,4.325,4.158333,4.533333,4.4375,4.291667,4.133333,4.508333,4.420833,4.2625,4.1125,4.4875,4.395833,4.233333,4.604167,4.458333,4.366667,4.2,4.579167,4.425,4.329167,4.175,4.554167,4.395833,4.304167,4.15,4.529167,4.366667,4.275,4.125,4.508333,4.341667,4.245833,4.620833,4.475,4.308333,4.2125,4.595833,4.441667,4.279167,4.1875,4.570833,4.4125,4.254167,4.1625,4.55,4.383333,4.233333,4.1375,4.529167,4.35,4.204167,4.633333,4.5,4.308333,4.179167,4.608333,4.470833,4.275,4.154167,4.583333,4.441667,4.25,4.658333,4.5625,4.416667,4.225,4.633333,4.541667,4.379167,4.2,4.608333
5.066667,4.966667,4.8,4.6375,5.045833,4.945833,4.770833,5.116667,5.029167,4.929167,4.7375,5.091667,5.004167,4.891667,4.708333,5.0625,4.979167,4.854167,4.679167,5.041667,4.958333,4.820833,4.658333,5.020833,4.941667,4.791667,4.633333,5,4.925,4.758333,5.1125,4.970833,4.895833,4.725,5.083333,4.941667,4.8625,4.695833,5.0625,4.916667,4.829167,4.670833,5.041667,4.895833,4.804167,4.65,5.020833,4.870833,4.770833,5.129167,4.991667,4.8375,4.741667,5.104167,4.958333,4.804167,4.7125,5.083333,4.933333,4.783333,4.6875,5.0625,4.908333,4.758333,4.6625,5.041667,4.879167,4.729167,5.141667,5.0125,4.8375,4.704167,5.116667,4.983333,4.804167,4.679167,5.095833,4.9625,4.779167,5.170833,5.075,4.9375,4.754167,5.145833,5.054167,4.908333,4.725,5.116667
5.5875,5.479167,5.3125,5.141667,5.566667,5.4625,5.279167,5.641667,5.545833,5.4375,5.245833,5.6125,5.525,5.408333,5.216667,5.583333,5.5,5.366667,5.1875,5.5625,5.475,5.3375,5.1625,5.5375,5.458333,5.304167,5.1375,5.516667,5.4375,5.270833,5.633333,5.4875,5.4125,5.2375,5.604167,5.4625,5.375,5.208333,5.583333,5.433333,5.35,5.183333,5.558333,5.4125,5.316667,5.158333,5.533333,5.3875,5.2875,5.65,5.504167,5.358333,5.254167,5.625,5.475,5.325,5.225,5.6,5.445833,5.3,5.195833,5.579167,5.420833,5.275,5.170833,5.554167,5.391667,5.245833,5.666667,5.525,5.354167,5.216667,5.6375,5.5,5.320833,5.191667,5.616667,5.475,5.291667,5.695833,5.591667,5.45,5.266667,5.670833,5.570833,5.416667,5.2375,5.641667
6.1,5.995833,5.8375,5.666667,6.083333,5.979167,5.808333,6.145833,6.0625,5.9625,5.775,6.120833,6.0375,5.933333,5.741667,6.091667,6.0125,5.895833,5.7125,6.070833,5.991667,5.8625,5.6875,6.05,5.979167,5.833333,5.6625,6.029167,5.9625,5.8,6.1375,6.004167,5.933333,5.7625,6.108333,5.975,5.904167,5.729167,6.0875,5.954167,5.875,5.704167,6.066667,5.933333,5.85,5.679167,6.045833,5.9125,5.816667,6.158333,6.016667,5.883333,5.779167,6.133333,5.9875,5.854167,5.75,6.108333,5.9625,5.829167,5.720833,6.091667,5.941667,5.804167,5.695833,6.066667,5.916667,5.775,6.175,6.0375,5.879167,5.741667,6.145833,6.0125,5.845833,5.716667,6.125,5.991667,5.820833,6.208333,6.104167,5.966667,5.795833,6.183333,6.079167,5.941667,5.766667,6.15
6.625,6.5125,6.354167,6.170833,6.604167,6.495833,6.320833,6.670833,6.583333,6.470833,6.283333,6.645833,6.558333,6.445833,6.25,6.616667,6.533333,6.408333,6.216667,6.591667,6.5125,6.379167,6.191667,6.570833,6.495833,6.345833,6.166667,6.55,6.475,6.3125,6.6625,6.520833,6.454167,6.275,6.633333,6.495833,6.420833,6.241667,6.608333,6.470833,6.395833,6.2125,6.5875,6.454167,6.3625,6.1875,6.5625,6.433333,6.333333,6.683333,6.533333,6.404167,6.291667,6.654167,6.504167,6.370833,6.2625,6.629167,6.479167,6.345833,6.233333,6.608333,6.458333,6.320833,6.204167,6.583333,6.433333,6.291667,6.7,6.554167,6.4,6.258333,6.670833,6.529167,6.3625,6.233333,6.645833,6.504167,6.3375,6.733333,6.625,6.479167,6.3125,6.708333,6.6,6.45,6.283333,6.679167
7.1375,7.025,6.879167,6.695833,7.116667,7.008333,6.85,7.175,7.095833,6.991667,6.816667,7.15,7.070833,6.9625,6.779167,7.125,7.045833,6.933333,6.745833,7.104167,7.025,6.904167,6.716667,7.083333,7.0125,6.875,6.691667,7.0625,6.995833,6.841667,7.1625,7.033333,6.970833,6.8,7.1375,7.008333,6.941667,6.766667,7.116667,6.9875,6.916667,6.741667,7.095833,6.970833,6.895833,6.7125,7.070833,6.954167,6.8625,7.1875,7.041667,6.925,6.820833,7.158333,7.016667,6.895833,6.7875,7.1375,6.995833,6.875,6.758333,7.116667,6.975,6.85,6.729167,7.091667,6.95,6.820833,7.208333,7.0625,6.920833,6.7875,7.179167,7.0375,6.8875,6.758333,7.154167,7.016667,6.866667,7.245833,7.133333,6.995833,6.841667,7.220833,7.108333,6.966667,6.8125,7.1875
7.6625,7.541667,7.391667,7.2,7.641667,7.525,7.3625,7.704167,7.616667,7.504167,7.325,7.675,7.591667,7.479167,7.2875,7.65,7.566667,7.445833,7.25,7.625,7.545833,7.416667,7.220833,7.604167,7.529167,7.3875,7.191667,7.583333,7.508333,7.354167,7.691667,7.554167,7.4875,7.3125,7.6625,7.529167,7.458333,7.279167,7.6375,7.508333,7.433333,7.25,7.616667,7.491667,7.408333,7.216667,7.591667,7.470833,7.379167,7.716667,7.5625,7.445833,7.333333,7.683333,7.5375,7.416667,7.3,7.658333,7.5125,7.391667,7.270833,7.6375,7.491667,7.366667,7.241667,7.608333,7.466667,7.3375,7.733333,7.579167,7.4375,7.304167,7.704167,7.554167,7.408333,7.275,7.679167,7.529167,7.383333,7.775,7.654167,7.508333,7.358333,7.745833,7.629167,7.479167,7.333333,7.7125
8.175,8.054167,7.916667,7.725,8.154167,8.0375,7.891667,8.208333,8.129167,8.016667,7.858333,8.183333,8.104167,7.991667,7.816667,8.158333,8.079167,7.966667,7.779167,8.1375,8.058333,7.9375,7.75,8.116667,8.041667,7.916667,7.720833,8.095833,8.025,7.883333,8.195833,8.066667,8,7.841667,8.166667,8.041667,7.975,7.804167,8.145833,8.020833,7.954167,7.775,8.120833,8.004167,7.9375,7.745833,8.1,7.9875,7.904167,8.220833,8.070833,7.9625,7.866667,8.191667,8.045833,7.9375,7.829167,8.166667,8.025,7.916667,7.795833,8.141667,8.004167,7.9,7.766667,8.116667,7.983333,7.870833,8.241667,8.0875,7.954167,7.833333,8.2125,8.0625,7.929167,7.8,8.1875,8.041667,7.908333,8.2875,8.1625,8.020833,7.8875,8.258333,8.133333,7.995833,7.8625,8.225
8.7,8.570833,8.429167,8.2375,8.679167,8.554167,8.4,8.7375,8.654167,8.533333,8.366667,8.7125,8.629167,8.508333,8.325,8.683333,8.6,8.479167,8.283333,8.6625,8.579167,8.454167,8.254167,8.641667,8.5625,8.425,8.220833,8.616667,8.5375,8.395833,8.720833,8.591667,8.516667,8.354167,8.691667,8.5625,8.491667,8.316667,8.670833,8.541667,8.470833,8.283333,8.645833,8.525,8.445833,8.25,8.620833,8.504167,8.420833,8.75,8.591667,8.479167,8.379167,8.716667,8.566667,8.454167,8.341667,8.691667,8.545833,8.433333,8.308333,8.666667,8.525,8.4125,8.279167,8.6375,8.5,8.3875,8.770833,8.608333,8.475,8.35,8.7375,8.583333,8.445833,8.316667,8.708333,8.558333,8.429167,8.816667,8.683333,8.5375,8.404167,8.7875,8.658333,8.508333,8.379167,8.75
